benchmark,model,max_drawdown,time_under_water,var_5,cvar_5,var_1,cvar_1,worst_day,worst_week,skewness,excess_kurtosis,num_days
benchmark1_original,Equal Weight,0.04108500230527623,0.6875,0.007782195348455712,0.009555369649203746,0.010335200160496659,0.01056968401780245,-0.01056968401780245,-0.03249555140042182,0.3050748354609008,-0.7189770704684246,48
benchmark1_original,Mean Variance Optimization,0.041985256543263905,0.7708333333333334,0.013379567362431104,0.015167029793594555,0.016049613447163127,0.016285479244559996,-0.016285479244559996,-0.041985256543263905,1.0425393017213271,1.6496913956130719,48
benchmark1_original,Classical DDPG,0.03871520841175713,0.7083333333333334,0.007847176621123577,0.009350738014234706,0.010125016589647194,0.010759226251131099,-0.010759226251131099,-0.030980733856547094,0.24169597720488098,-0.7837714429844356,48
benchmark1_original,Classical Deep Q-Learning,0.06405135188708988,0.9375,0.017691571304619548,0.02240048493296476,0.024825492912061767,0.027398849715828514,-0.027398849715828514,-0.046712012327360886,0.398384130748817,0.28737776658913106,48
benchmark1_original,PennyLane QDPG,0.05184321623180521,0.8333333333333334,0.023621796135335667,0.03223205812566843,0.03662473074363669,0.044166560220053594,-0.044166560220053594,-0.03628136868079268,-0.3966787154776816,1.5500763359368595,48
benchmark1_original,PennyLane Quantum Q-Learning,0.05062686720635445,0.8333333333333334,0.023142194468695233,0.03151444046781859,0.035763460411699734,0.043261784530155716,-0.043261784530155716,-0.03570176931032254,-0.3692777444796938,1.4537086251743627,48
benchmark1_original,Qiskit QDPG,0.044439165233997824,0.8333333333333334,0.020532822594405933,0.027833693610727295,0.03150130530938483,0.03855809716846226,-0.03855809716846226,-0.0364351323091342,-0.24915693008712989,0.9672976954413568,48
benchmark1_original,Qiskit Quantum Q-Learning,0.05989312274171188,0.8541666666666666,0.027034764751334994,0.03704546471070625,0.042238690487894526,0.05032616431920513,-0.05032616431920513,-0.045473283273345544,-0.5551898058840762,2.0541219022253543,48
benchmark2_custom_nonpaper_10,Equal Weight,0.06968803506526511,0.8333333333333334,0.017915154234901923,0.022516337045280287,0.024571656340592128,0.028163559185933874,-0.028163559185933874,-0.046947198793637956,0.12205133793475255,0.043536544951243705,48
benchmark2_custom_nonpaper_10,Mean Variance Optimization,0.12764022603875524,0.6875,0.04551382149290495,0.06466100999876455,0.0724628005279814,0.08126622934255529,-0.08126622934255529,-0.10108057874278342,-0.26538054690070245,1.232876909818061,48
benchmark2_custom_nonpaper_10,Classical DDPG,0.09029434442749784,0.7916666666666666,0.020031471613888144,0.027690045111584117,0.031589595981717816,0.036324274219243315,-0.036324274219243315,-0.060599668624058856,0.03181699313487198,-0.15334085079626814,48
benchmark2_custom_nonpaper_10,Classical Deep Q-Learning,0.16871114436991907,0.7708333333333334,0.06953180482993059,0.08089475005052124,0.08364689302161218,0.08997924517375731,-0.08997924517375731,-0.1348816758290463,-0.4062063886512787,-0.2733063007774077,48
benchmark2_custom_nonpaper_10,PennyLane QDPG,0.23662888955834205,0.6666666666666666,0.0992081849142145,0.13049534282674566,0.14552393794434415,0.15076509519764092,-0.15076509519764092,-0.12386130896132674,-0.008481572266627544,-0.02599581811962759,48
benchmark2_custom_nonpaper_10,PennyLane Quantum Q-Learning,0.25543690000462727,0.6666666666666666,0.10777630663031489,0.1408296648488566,0.1570499233420436,0.16408204687482453,-0.16408204687482453,-0.13548822432514773,-0.01827921274700329,0.07352565409755218,48
benchmark2_custom_nonpaper_10,Qiskit QDPG,0.21303520418575395,0.6041666666666666,0.08752013513912704,0.1272780430907163,0.14297843205088617,0.1544574765541285,-0.1544574765541285,-0.11232204218606778,0.007332986276288598,0.15395797888361695,48
benchmark2_custom_nonpaper_10,Qiskit Quantum Q-Learning,0.2132072847798504,0.6041666666666666,0.08597350351590578,0.12570301094303524,0.14188857882670075,0.15463543598658247,-0.15463543598658247,-0.11144476810626158,0.0018361119306494788,0.19184418799265046,48
