Date,MSFT,AAL,NVDA,INTC,AAPL,MU,NOK,BB,AMZN,JPM,GLD,TLT
2018-01-02,78.69990539550781,51.647560119628906,4.922528266906738,39.33039093017578,40.26707458496094,42.59078598022461,4.021885395050049,12.020000457763672,59.45050048828125,85.90128326416016,125.1500015258789,98.7056655883789
2018-01-03,79.066162109375,51.0140266418457,5.246499061584473,37.99559020996094,40.260066986083984,43.8684196472168,4.081031799316406,13.529999732971191,60.209999084472656,85.98882293701172,124.81999969482422,99.17764282226562
2018-01-04,79.76204681396484,51.335662841796875,5.27415657043457,37.29880905151367,40.44707107543945,45.72146224975586,4.131726264953613,13.369999885559082,60.47949981689453,87.22064971923828,125.45999908447266,99.1618881225586
2018-01-05,80.7509536743164,51.3161735534668,5.318849563598633,37.559043884277344,40.907562255859375,44.66814422607422,4.157074928283691,13.829999923706055,61.457000732421875,86.66069793701172,125.33000183105469,98.87870788574219
2018-01-08,80.83336639404297,50.80935287475586,5.48182487487793,37.559043884277344,40.7556266784668,44.42433166503906,4.123277187347412,14.119999885559082,62.34349822998047,86.7886962890625,125.30999755859375,98.8157958984375
2018-01-09,80.77841186523438,50.760616302490234,5.480341911315918,36.61880111694336,40.750953674316406,41.9080924987793,4.140176773071289,14.399999618530273,62.6349983215332,87.22866821289062,124.7300033569336,97.49435424804688
2018-01-10,80.41215515136719,52.417545318603516,5.523307800292969,35.6785888671875,40.741600036621094,42.23968505859375,4.09792947769165,13.670000076293945,62.71649932861328,88.18852996826172,125.02999877929688,97.37639617919922
2018-01-11,80.65023803710938,54.990665435791016,5.53318452835083,36.44252014160156,40.97303009033203,41.76179885864258,4.0725812911987305,13.449999809265137,63.83399963378906,88.66046142578125,125.44000244140625,97.77750396728516
2018-01-12,82.04204559326172,56.98872756958008,5.506021976470947,36.299808502197266,41.39612579345703,41.752044677734375,4.114828109741211,13.649999618530273,65.26000213623047,90.12427520751953,126.95999908447266,97.94270324707031
2018-01-16,80.8974609375,56.511138916015625,5.435153484344482,36.215850830078125,41.185752868652344,41.85932540893555,4.190871715545654,13.8100004196167,65.24299621582031,89.80429077148438,127.16999816894531,98.35171508789062
2018-01-17,82.53646087646484,56.68658447265625,5.548988342285156,37.265235900878906,41.8659782409668,43.16621017456055,4.182422637939453,13.670000076293945,64.75,90.38024139404297,126.13999938964844,98.21797180175781
2018-01-18,82.49986267089844,56.86202621459961,5.542074203491211,37.34078598022461,41.90339279174805,42.90287399291992,4.089479446411133,13.25,64.66600036621094,90.59620666503906,125.86000061035156,97.30558013916016
2018-01-19,82.40827941894531,56.58911895751953,5.682082653045654,37.626197814941406,41.716373443603516,41.69353103637695,4.089479446411133,13.3100004196167,64.72899627685547,90.39625549316406,126.41999816894531,96.79430389404297
2018-01-22,83.88249969482422,56.62810134887695,5.770483016967773,38.40694046020508,41.37508773803711,41.82029724121094,4.140176773071289,13.279999732971191,66.3655014038086,91.45210266113281,126.6500015258789,96.88876342773438
2018-01-23,84.14803314208984,56.81328582763672,5.899379730224609,38.66718292236328,41.384437561035156,42.863868713378906,4.157074928283691,13.529999732971191,68.12699890136719,91.35609436035156,127.27999877929688,97.30558013916016
2018-01-24,84.07474517822266,53.40196228027344,5.822587013244629,38.20545959472656,40.72523880004883,42.015357971191406,4.148625373840332,13.25,67.87550354003906,92.5239486694336,128.8300018310547,96.77861785888672
2018-01-25,84.54176330566406,51.70603561401367,5.8361663818359375,38.029170989990234,39.99825668334961,41.94709396362305,4.055683135986328,13.050000190734863,68.89749908447266,92.54795837402344,127.97000122070312,97.57303619384766
2018-01-26,86.12581634521484,51.725528717041016,6.008522033691406,42.04197311401367,40.09177017211914,42.59078598022461,4.064131736755371,13.430000305175781,70.10250091552734,93.04389190673828,128.07000732421875,97.211181640625
2018-01-29,85.99761199951172,51.34541702270508,6.095443248748779,41.958011627197266,39.26191711425781,42.220176696777344,4.190871715545654,13.0,70.88400268554688,92.9478988647461,127.3499984741211,96.53479766845703
2018-01-30,84.91716003417969,51.257694244384766,5.9934611320495605,40.95901107788086,39.03050994873047,40.64021682739258,4.190871715545654,12.579999923706055,71.89099884033203,92.07601165771484,126.80000305175781,95.96845245361328
2018-01-31,86.99568176269531,52.94386672973633,6.069514274597168,40.41333770751953,39.13801956176758,42.639556884765625,4.064131736755371,12.65999984741211,72.54450225830078,92.5239486694336,127.6500015258789,96.53479766845703
2018-02-01,86.3089599609375,52.5150146484375,5.938641548156738,40.00198745727539,39.2198486328125,41.43995666503906,4.562643527984619,12.899999618530273,69.5,93.48385620117188,128.07000732421875,95.13570404052734
2018-02-02,84.03813171386719,50.78010177612305,5.7662858963012695,38.74274444580078,37.51808547973633,39.81121826171875,4.562643527984619,12.40999984741211,71.49749755859375,91.412109375,126.38999938964844,94.2529296875
2018-02-05,80.57696533203125,48.59265899658203,5.2768731117248535,37.374359130859375,36.58071517944336,38.42632293701172,4.495048999786377,11.859999656677246,69.5,87.02867126464844,126.70999908447266,95.14362335205078
2018-02-06,83.62609100341797,49.979339599609375,5.570224761962891,37.957550048828125,38.10948944091797,42.79560852050781,4.655586242675781,12.0,72.14199829101562,89.67633819580078,125.37999725341797,94.55245208740234
2018-02-07,82.05119323730469,50.194183349609375,5.6497344970703125,38.20263671875,37.29368209838867,40.97180938720703,4.655586242675781,11.75,70.83899688720703,90.28424835205078,124.79000091552734,93.65386199951172
2018-02-08,77.83919525146484,47.459869384765625,5.371200084686279,36.131919860839844,36.26748275756836,39.011478424072266,4.52884578704834,11.40999984741211,67.5250015258789,86.29278564453125,124.9800033569336,93.55142974853516
2018-02-09,80.7417984008789,47.22549819946289,5.730727195739746,37.146148681640625,36.71108627319336,39.41136169433594,4.562643527984619,11.609999656677246,66.9800033569336,88.02053833007812,124.7699966430664,92.96028900146484
2018-02-12,81.61165618896484,48.914920806884766,5.630721092224121,37.88992691040039,38.18977355957031,41.14736557006836,4.655586242675781,11.729999542236328,69.3115005493164,89.38037872314453,125.37000274658203,93.37015533447266
2018-02-13,82.25260162353516,49.676612854003906,5.744309425354004,37.577205657958984,38.57234573364258,41.57648849487305,4.655586242675781,11.770000457763672,70.72550201416016,89.93228149414062,126.08000183105469,93.78787994384766
2018-02-14,83.54055786132812,49.87192153930664,5.961360454559326,38.35478973388672,39.283512115478516,42.376224517822266,4.773876190185547,12.100000381469727,72.55249786376953,92.01201629638672,128.22999572753906,92.74745178222656
2018-02-15,85.24243927001953,50.45784378051758,6.086798667907715,38.811180114746094,40.60258483886719,42.42498779296875,4.8414716720581055,12.119999885559082,73.08799743652344,92.39596557617188,128.3800048828125,93.06275177001953
2018-02-16,84.6352767944336,50.36996078491211,6.021117687225342,38.50691223144531,40.47114944458008,43.11744689941406,4.866819858551025,12.0600004196167,72.43450164794922,91.73206329345703,127.95999908447266,93.56718444824219
2018-02-20,85.29766082763672,50.50667953491211,6.150506973266602,39.14925765991211,40.335018157958984,43.79039764404297,4.8414716720581055,12.109999656677246,73.4175033569336,91.75606536865234,126.23999786376953,93.15729522705078
2018-02-21,84.16613006591797,51.54180908203125,5.963581085205078,38.828094482421875,40.151947021484375,43.43928909301758,4.807673931121826,12.199999809265137,74.14600372314453,92.1400146484375,125.66000366210938,92.0143814086914
2018-02-22,84.38690185546875,51.73711013793945,5.9831013679504395,38.70975875854492,40.487579345703125,43.15645217895508,4.824573040008545,11.90999984741211,74.26699829101562,91.9720230102539,126.30000305175781,92.29027557373047
2018-02-23,86.53038024902344,52.13749694824219,6.076498508453369,40.34098815917969,41.19171142578125,45.38011169433594,4.900617599487305,12.550000190734863,75.0,93.83580017089844,126.13999938964844,93.11005401611328
2018-02-26,87.78150177001953,53.70973205566406,6.092556953430176,41.50735092163086,42.00615310668945,46.794273376464844,5.010458469390869,12.579999923706055,76.09750366210938,95.00364685058594,126.44999694824219,93.14152526855469
2018-02-27,86.6591796875,52.98708724975586,6.079710483551025,42.183502197265625,41.87002944946289,47.37944793701172,4.959762096405029,12.350000381469727,75.5989990234375,93.87577819824219,125.12999725341797,93.007568359375
2018-02-28,86.26361083984375,52.97732162475586,5.979394435882568,41.659481048583984,41.806663513183594,47.60376739501953,4.900617599487305,12.140000343322754,75.62249755859375,92.3879623413086,125.0,93.59870147705078
2018-03-01,85.41726684570312,52.22538375854492,5.737502098083496,40.43395233154297,41.07434844970703,46.44317626953125,4.866819858551025,12.109999656677246,74.67250061035156,90.7322006225586,124.72000122070312,94.23766326904297
2018-03-02,85.60124969482422,51.93242263793945,5.844487190246582,41.3974723815918,41.358360290527344,47.89635467529297,4.875269412994385,12.359999656677246,75.01249694824219,90.6441879272461,125.38999938964844,93.4715805053711
2018-03-05,86.14399719238281,51.94218826293945,5.822497367858887,42.04827117919922,41.50153350830078,50.74418640136719,4.942864418029785,12.390000343322754,76.18049621582031,92.03601837158203,125.18000030517578,93.21881103515625
2018-03-06,85.84961700439453,52.31327438354492,5.983348846435547,42.859642028808594,41.466331481933594,52.41193389892578,4.917515277862549,12.4399995803833,76.88200378417969,92.11602783203125,126.52999877929688,93.30569458007812
2018-03-07,86.34638214111328,52.84061050415039,5.9754414558410645,43.375213623046875,41.08140182495117,52.63624954223633,4.968211650848389,12.5,77.25,91.77204132080078,125.72000122070312,93.20301055908203
2018-03-08,86.87078094482422,53.50465774536133,5.959134101867676,42.88501739501953,41.52970504760742,53.85536575317383,4.959762096405029,12.890000343322754,77.59300231933594,91.78006744384766,125.41999816894531,93.7400894165039
2018-03-09,88.81183624267578,54.75462341308594,6.061673641204834,44.110530853271484,42.24322509765625,53.240936279296875,4.976661205291748,12.869999885559082,78.94450378417969,94.41970825195312,125.54000091552734,93.1240463256836
2018-03-12,89.02342224121094,55.17453384399414,6.1711297035217285,43.54425811767578,42.651611328125,57.90279006958008,5.010458469390869,12.819999694824219,79.91950225830078,94.1157455444336,125.54000091552734,93.66111755371094
2018-03-13,86.85236358642578,54.91087341308594,6.120477199554443,43.76399612426758,42.24087142944336,57.96131896972656,4.951313018798828,12.609999656677246,79.40899658203125,92.98790740966797,125.77999877929688,94.13500213623047
2018-03-14,86.3371810913086,53.983158111572266,6.145927429199219,43.831634521484375,41.881752014160156,58.302669525146484,4.917515277862549,12.800000190734863,79.55000305175781,91.94803619384766,125.69999694824219,94.96424865722656
2018-03-15,86.64078521728516,53.87574005126953,6.16075325012207,43.00333023071289,41.931053161621094,57.385894775390625,4.866819858551025,13.25,79.11599731445312,92.17997741699219,124.9000015258789,94.96424865722656
2018-03-16,87.02713775634766,54.100345611572266,6.1889214515686035,43.2484245300293,41.78317642211914,59.08290481567383,4.8414716720581055,12.949999809265137,78.58399963378906,92.3399887084961,124.5999984741211,94.62467193603516
2018-03-19,85.45403289794922,53.33863830566406,5.954687118530273,42.96107864379883,41.14476776123047,58.65376281738281,4.83302116394043,12.720000267028809,77.24649810791016,91.61206817626953,124.87000274658203,94.32454681396484
2018-03-20,85.6748275756836,54.02222442626953,6.166683197021484,43.569610595703125,41.13068389892578,59.638816833496094,4.858370304107666,13.079999923706055,79.32550048828125,91.7000732421875,124.30999755859375,93.94542694091797
2018-03-21,85.07686614990234,52.82107925415039,6.141480922698975,43.578067779541016,40.19887924194336,59.5607795715332,4.824573040008545,13.15999984741211,79.09300231933594,91.78006744384766,126.4800033569336,94.048095703125
2018-03-22,82.60221099853516,51.08283996582031,5.975688457489014,42.96107864379883,39.630889892578125,57.463905334472656,4.647136211395264,12.819999694824219,77.24600219726562,87.94856262207031,125.9800033569336,94.98005676269531
