Date,NVDA,AMD,TSLA,AMZN,META,NFLX,COST,UNH,BA,KO
2015-01-02,0.48242297768592834,2.6700000762939453,14.620667457580566,15.425999641418457,77.76707458496094,4.984857082366943,113.81517028808594,83.35273742675781,113.65721893310547,29.39026641845703
2015-01-05,0.47427472472190857,2.6600000858306885,14.005999565124512,15.10949993133545,76.51805114746094,4.731142997741699,112.52117919921875,81.97978210449219,112.87005615234375,29.39026641845703
2015-01-06,0.4598955810070038,2.630000114440918,14.085332870483398,14.76449966430664,75.48710632324219,4.650143146514893,114.00808715820312,81.8143539428711,111.5406265258789,29.61343765258789
2015-01-07,0.4586973786354065,2.5799999237060547,14.063332557678223,14.920999526977539,75.48710632324219,4.674285888671875,115.99321746826172,82.64969635009766,113.27237701416016,29.98309326171875
2015-01-08,0.4759523570537567,2.609999895095825,14.041333198547363,15.02299976348877,77.49943542480469,4.7779998779296875,116.98987579345703,86.59484100341797,115.27526092529297,30.345760345458984
2015-01-09,0.4778696298599243,2.630000114440918,13.77733325958252,14.846500396728516,77.06327056884766,4.704143047332764,115.18951416015625,85.78431701660156,115.04786682128906,30.010974884033203
2015-01-12,0.4718782901763916,2.630000114440918,13.480667114257812,14.570500373840332,76.0521469116211,4.554714202880859,114.5465316772461,84.81664276123047,114.46186828613281,29.73898696899414
2015-01-13,0.47115930914878845,2.6600000858306885,13.616666793823242,14.737000465393066,75.78450012207031,4.625570774078369,113.39722442626953,85.24671173095703,114.7242431640625,29.73200225830078
2015-01-14,0.4730764925479889,2.630000114440918,12.845999717712402,14.66349983215332,75.61598205566406,4.631999969482422,111.96658325195312,85.46176147460938,114.03329467773438,29.68318748474121
2015-01-15,0.4697214365005493,2.5199999809265137,12.791333198547363,14.34749984741211,73.40538787841797,4.625143051147461,111.96658325195312,86.39633178710938,113.8233871459961,29.55763816833496
2015-01-16,0.4783489406108856,2.390000104904175,12.871333122253418,14.536999702453613,74.52554321289062,4.819142818450928,112.2961196899414,87.47979736328125,114.3831558227539,29.662260055541992
2015-01-20,0.47978684306144714,2.240000009536743,12.795332908630371,14.472000122070312,75.5763168334961,4.9828572273254395,112.02286529541016,87.35577392578125,114.76798248291016,30.101642608642578
2015-01-21,0.4864971339702606,2.450000047683716,13.104666709899902,14.862500190734863,76.07197570800781,5.846857070922852,111.83000183105469,90.41594696044922,115.80879974365234,30.241153717041016
2015-01-22,0.49488505721092224,2.4700000286102295,13.441332817077637,15.515999794006348,76.97404479980469,6.120571136474609,113.54194641113281,94.16259002685547,118.63381958007812,30.534069061279297
2015-01-23,0.49632319808006287,2.450000047683716,13.419333457946777,15.619500160217285,77.15248107910156,6.249429225921631,114.16881561279297,92.63252258300781,117.74170684814453,30.20627212524414
2015-01-26,0.49416589736938477,2.609999895095825,13.770000457763672,15.482999801635742,76.82535552978516,6.379428863525391,114.8600082397461,92.30994415283203,117.26068115234375,29.990074157714844
2015-01-27,0.4704403579235077,2.700000047683716,13.732000350952148,15.337499618530273,75.12032318115234,6.488142967224121,113.31690216064453,90.98661041259766,115.8700180053711,29.564611434936523
2015-01-28,0.4627714455127716,2.630000114440918,13.291333198547363,15.195500373840332,75.5763168334961,6.320857048034668,112.21576690673828,89.70464324951172,122.1323013305664,29.23682403564453
2015-01-29,0.4740351140499115,2.609999895095825,13.680000305175781,15.58899974822998,77.32100677490234,6.340000152587891,113.0355453491211,90.47382354736328,129.2517547607422,29.36236572265625
2015-01-30,0.46013522148132324,2.569999933242798,13.573332786560059,17.726499557495117,75.24919891357422,6.311429023742676,114.92428588867188,87.87680053710938,127.14388275146484,28.7137508392334
2015-02-02,0.47020065784454346,2.6700000762939453,14.062666893005371,18.223499298095703,74.33719635009766,6.301000118255615,117.34351348876953,88.73696899414062,127.92227935791016,29.00666618347168
2015-02-03,0.48194369673728943,2.759999990463257,14.557332992553711,18.177499771118164,74.7436294555664,6.527429103851318,123.5723648071289,89.16703033447266,128.86691284179688,29.03457260131836
2015-02-04,0.48314204812049866,2.8499999046325684,14.569999694824219,18.237499237060547,74.97163391113281,6.41014289855957,125.31642150878906,89.2580337524414,128.76194763183594,29.069438934326172
2015-02-05,0.491050660610199,3.309999942779541,14.732666969299316,18.694499969482422,74.95182037353516,6.413000106811523,123.7968521118164,90.0024185180664,129.96896362304688,29.146163940429688
2015-02-06,0.4888935983181,3.0299999713897705,14.490667343139648,18.714000701904297,73.82172393798828,6.3480000495910645,123.4730453491211,88.9933853149414,129.44415283203125,28.909029006958008
2015-02-09,0.4884144067764282,3.0399999618530273,14.498666763305664,18.527999877929688,73.7919921875,6.329570770263672,122.50987243652344,88.07530212402344,129.07684326171875,28.75558853149414
2015-02-10,0.5020744800567627,3.0399999618530273,14.419333457946777,18.649999618530273,74.53546142578125,6.485000133514404,123.07449340820312,90.12647247314453,129.47915649414062,29.57159996032715
2015-02-11,0.49871933460235596,3.069999933242798,14.186667442321777,18.756999969482422,75.84397888183594,6.498428821563721,122.7374267578125,90.85426330566406,130.17437744140625,29.55067253112793
2015-02-12,0.5344277620315552,3.119999885559082,13.525333404541016,18.85849952697754,75.56640625,6.52471399307251,122.98707580566406,90.84600830078125,130.323974609375,29.41118812561035
2015-02-13,0.534667432308197,3.1500000953674316,13.584667205810547,19.09149932861328,75.08065795898438,6.658570766448975,122.43772888183594,90.51519012451172,131.76724243164062,29.285642623901367
2015-02-17,0.5363451242446899,3.109999895095825,13.623332977294922,18.771499633789062,74.94189453125,6.713714122772217,122.7956771850586,90.77983093261719,131.9344024658203,29.160112380981445
2015-02-18,0.5301142334938049,3.0799999237060547,13.630666732788086,18.668500900268555,76.042236328125,6.786571025848389,122.54595947265625,90.7881088256836,133.0344696044922,29.104307174682617
2015-02-19,0.5315521359443665,3.059999942779541,14.11400032043457,18.950000762939453,78.7286376953125,6.78000020980835,122.07987976074219,91.00313568115234,135.30491638183594,29.36934471130371
2015-02-20,0.5353865623474121,3.059999942779541,14.473999977111816,19.183000564575195,79.2044677734375,6.8314290046691895,122.80399322509766,93.14530181884766,139.31788635253906,29.271703720092773
2015-02-23,0.531072735786438,3.059999942779541,13.822667121887207,19.006999969482422,78.15367126464844,6.740571022033691,123.51145935058594,96.27165985107422,136.17617797851562,29.188011169433594
2015-02-24,0.5367262363433838,3.109999895095825,13.607333183288574,18.929500579833984,77.76707458496094,6.783999919891357,123.3615951538086,95.4693603515625,135.85934448242188,29.38328742980957
2015-02-25,0.5326364636421204,3.0999999046325684,13.583999633789062,19.26849937438965,78.86741638183594,6.833285808563232,122.75402069091797,94.32799530029297,134.65371704101562,29.32749366760254
2015-02-26,0.534079909324646,3.0799999237060547,13.812666893005371,19.239999771118164,79.71002960205078,6.900428771972656,122.06315612792969,94.00543212890625,133.5272674560547,29.61343765258789
2015-02-27,0.5307117700576782,3.109999895095825,13.555999755859375,19.007999420166016,78.28256225585938,6.78442907333374,122.32123565673828,93.9806137084961,132.75289916992188,30.199304580688477
2015-03-02,0.543703019618988,3.2100000381469727,13.155332565307617,19.283000946044922,79.05577087402344,6.860713958740234,123.13691711425781,94.61746978759766,135.3489532470703,30.12955093383789
2015-03-03,0.5335988998413086,3.140000104904175,13.303999900817871,19.230499267578125,78.90705108642578,6.781570911407471,122.6624755859375,93.34374237060547,136.9066162109375,29.955188751220703
2015-03-04,0.5396133065223694,3.049999952316284,13.496000289916992,19.13599967956543,80.19574737548828,6.710999965667725,122.49600982666016,94.13776397705078,135.83302307128906,29.641340255737305
2015-03-05,0.5499581694602966,2.9800000190734863,13.375332832336426,19.39150047302246,80.50305938720703,6.680714130401611,125.82539367675781,94.94003295898438,135.93858337402344,29.57159996032715
2015-03-06,0.5425002574920654,2.9200000762939453,12.925333023071289,19.004499435424805,79.3134994506836,6.487429141998291,124.46863555908203,93.36031341552734,134.7505340576172,28.957853317260742
2015-03-09,0.5439435243606567,2.930000066757202,12.725333213806152,18.92799949645996,78.74845886230469,6.366143226623535,125.41748046875,95.031005859375,136.18499755859375,28.867176055908203
2015-03-10,0.5533260703086853,2.9200000762939453,12.687999725341797,18.475500106811523,76.87492370605469,6.215143203735352,123.31999969482422,93.01293182373047,134.13450622558594,28.37896728515625
2015-03-11,0.5504391193389893,2.8399999141693115,12.916000366210938,18.318500518798828,76.89474487304688,6.288428783416748,122.68741607666016,93.53988647460938,133.0344696044922,27.96747589111328
2015-03-12,0.5453871488571167,2.759999990463257,12.73799991607666,18.711999893188477,78.24290466308594,6.404571056365967,124.38545227050781,95.33235168457031,133.80010986328125,28.530057907104492
2015-03-13,0.5461086630821228,2.75,12.578666687011719,18.52899932861328,77.37057495117188,6.262856960296631,124.2522201538086,95.63939666748047,133.38645935058594,28.065937042236328
2015-03-16,0.5526044368743896,2.759999990463257,13.046667098999023,18.667499542236328,77.39038848876953,6.028142929077148,124.84324645996094,98.35296630859375,135.2345733642578,28.33316421508789
2015-03-17,0.5593405365943909,2.7699999809265137,12.982000350952148,18.59600067138672,78.66915130615234,5.978857040405273,124.87652587890625,97.58955383300781,135.97377014160156,28.48786735534668
2015-03-18,0.5501985549926758,2.75,13.380666732788086,18.756999969482422,80.20567321777344,6.0445709228515625,125.62557983398438,99.54795837402344,137.04742431640625,28.551158905029297
2015-03-19,0.5586186647415161,2.740000009536743,13.043333053588867,18.66200065612793,82.02965545654297,6.074429035186768,125.94190979003906,100.21184539794922,135.62176513671875,28.143291473388672
2015-03-20,0.5646331310272217,2.799999952316284,13.20533275604248,18.92449951171875,83.07051086425781,6.118570804595947,127.0073471069336,98.86750793457031,135.96495056152344,28.586328506469727
2015-03-23,0.5463494062423706,2.8399999141693115,13.308667182922363,18.75550079345703,83.69501495361328,6.0714287757873535,127.29032135009766,98.78450775146484,134.4777374267578,28.56522560119629
2015-03-24,0.538891613483429,2.7899999618530273,13.447999954223633,18.704500198364258,84.56736755371094,6.261143207550049,127.46511840820312,98.02107238769531,133.45689392089844,28.45975112915039
2015-03-25,0.5061730742454529,2.630000114440918,12.953332901000977,18.54800033569336,82.19816589355469,6.025000095367432,125.75884246826172,96.70990753173828,130.4471893310547,28.4456787109375
