Date,MSFT,AAPL,NVDA,AMZN,INTC,MU,JPM,AAL,GLD,TLT
2018-01-02,78.6999282836914,40.26708221435547,4.922529220581055,59.45050048828125,39.33039093017578,42.59078598022461,85.9012680053711,51.64755630493164,125.1500015258789,98.7056655883789
2018-01-03,79.0661849975586,40.26007080078125,5.246500015258789,60.209999084472656,37.995582580566406,43.868412017822266,85.98880767822266,51.01402282714844,124.81999969482422,99.17761993408203
2018-01-04,79.76207733154297,40.44707489013672,5.274156093597412,60.47949981689453,37.29880905151367,45.721466064453125,87.22064208984375,51.33565902709961,125.45999908447266,99.16185760498047
2018-01-05,80.75096130371094,40.90755844116211,5.318851947784424,61.457000732421875,37.55904769897461,44.668148040771484,86.66070556640625,51.31617736816406,125.33000183105469,98.87873077392578
2018-01-08,80.83335876464844,40.755638122558594,5.48182487487793,62.34349822998047,37.55904769897461,44.42432403564453,86.7886734008789,50.80934524536133,125.30999755859375,98.81578063964844
2018-01-09,80.77840423583984,40.75094985961914,5.48034143447876,62.6349983215332,36.61881637573242,41.90808868408203,87.2286376953125,50.760616302490234,124.7300033569336,97.49433898925781
2018-01-10,80.41216278076172,40.74159622192383,5.523307800292969,62.71649932861328,35.67857360839844,42.239681243896484,88.18852233886719,52.417545318603516,125.02999877929688,97.37638092041016
2018-01-11,80.6502456665039,40.97301483154297,5.533185005187988,63.83399963378906,36.442508697509766,41.76179504394531,88.66046905517578,54.990665435791016,125.44000244140625,97.77751922607422
2018-01-12,82.04203033447266,41.3961181640625,5.506021976470947,65.26000213623047,36.2998046875,41.75204086303711,90.12425231933594,56.988731384277344,126.95999908447266,97.94270324707031
2018-01-16,80.89746856689453,41.18574142456055,5.435154438018799,65.24299621582031,36.215858459472656,41.85932540893555,89.80431365966797,56.511146545410156,127.16999816894531,98.35173797607422
2018-01-17,82.53646850585938,41.8659782409668,5.548988342285156,64.75,37.26522445678711,43.16620635986328,90.38024139404297,56.686580657958984,126.13999938964844,98.21802520751953
2018-01-18,82.49984741210938,41.90338897705078,5.542075157165527,64.66600036621094,37.34077072143555,42.90288162231445,90.59619140625,56.86201858520508,125.86000061035156,97.30559539794922
2018-01-19,82.40827178955078,41.71637725830078,5.682082176208496,64.72899627685547,37.626197814941406,41.69352340698242,90.39622497558594,56.58911895751953,126.41999816894531,96.7943115234375
2018-01-22,83.88248443603516,41.37509536743164,5.770483493804932,66.3655014038086,38.40693664550781,41.8203125,91.45210266113281,56.62810134887695,126.6500015258789,96.88867950439453
2018-01-23,84.14801025390625,41.38444137573242,5.899381160736084,68.12699890136719,38.66718673706055,42.863868713378906,91.3561019897461,56.81329345703125,127.27999877929688,97.30559539794922
2018-01-24,84.07473754882812,40.72523880004883,5.822585105895996,67.87550354003906,38.20545959472656,42.015377044677734,92.5239486694336,53.401954650878906,128.8300018310547,96.77861022949219
2018-01-25,84.5417251586914,39.99824905395508,5.836166858673096,68.89749908447266,38.029170989990234,41.94709396362305,92.5479507446289,51.70603942871094,127.97000122070312,97.57307434082031
2018-01-26,86.12581634521484,40.091773986816406,6.0085225105285645,70.10250091552734,42.041954040527344,42.59078598022461,93.04389953613281,51.72553634643555,128.07000732421875,97.211181640625
2018-01-29,85.99761199951172,39.26191329956055,6.0954413414001465,70.88400268554688,41.95800018310547,42.22018051147461,92.94791412353516,51.34541702270508,127.3499984741211,96.53474426269531
2018-01-30,84.91714477539062,39.030494689941406,5.993460655212402,71.89099884033203,40.959007263183594,40.64020919799805,92.07601928710938,51.2576904296875,126.80000305175781,95.96843719482422
2018-01-31,86.99567413330078,39.13803482055664,6.069512844085693,72.54450225830078,40.413326263427734,42.63955307006836,92.5239486694336,52.94386672973633,127.6500015258789,96.53474426269531
2018-02-01,86.3089599609375,39.2198371887207,5.9386420249938965,69.5,40.001976013183594,41.43995666503906,93.48384857177734,52.515018463134766,128.07000732421875,95.1357192993164
2018-02-02,84.03812408447266,37.51808547973633,5.7662858963012695,71.49749755859375,38.742740631103516,39.811214447021484,91.41211700439453,50.78010940551758,126.38999938964844,94.25287628173828
2018-02-05,80.57699584960938,36.58071517944336,5.276871681213379,69.5,37.37435531616211,38.42631149291992,87.02865600585938,48.5926513671875,126.70999908447266,95.14356994628906
2018-02-06,83.6260986328125,38.10948944091797,5.5702223777771,72.14199829101562,37.95753479003906,42.79560852050781,89.67632293701172,49.979339599609375,125.37999725341797,94.55245971679688
2018-02-07,82.0511474609375,37.29368591308594,5.649734973907471,70.83899688720703,38.20265197753906,40.97181701660156,90.28425598144531,50.194183349609375,124.79000091552734,93.65389251708984
2018-02-08,77.8392105102539,36.267478942871094,5.371199131011963,67.5250015258789,36.131927490234375,39.0114860534668,86.29277801513672,47.45986557006836,124.9800033569336,93.55145263671875
2018-02-09,80.74179077148438,36.711090087890625,5.730726718902588,66.9800033569336,37.14616012573242,39.41135025024414,88.02054595947266,47.225502014160156,124.7699966430664,92.96023559570312
2018-02-12,81.6116714477539,38.18976974487305,5.6307220458984375,69.3115005493164,37.889923095703125,41.14735794067383,89.38036346435547,48.91490936279297,125.37000274658203,93.37016296386719
2018-02-13,82.25262451171875,38.57234191894531,5.744307994842529,70.72550201416016,37.57719802856445,41.57649230957031,89.93231201171875,49.67661666870117,126.08000183105469,93.78787231445312
2018-02-14,83.54055786132812,39.28351974487305,5.961359977722168,72.55249786376953,38.354793548583984,42.376224517822266,92.01202392578125,49.87192153930664,128.22999572753906,92.7474594116211
2018-02-15,85.2424545288086,40.60258483886719,6.086797714233398,73.08799743652344,38.811180114746094,42.42499542236328,92.3959732055664,50.457847595214844,128.3800048828125,93.0627670288086
2018-02-16,84.63529205322266,40.47115707397461,6.021116733551025,72.43450164794922,38.50691604614258,43.11743927001953,91.73207092285156,50.369964599609375,127.95999908447266,93.56720733642578
2018-02-20,85.29764556884766,40.33501052856445,6.150506973266602,73.4175033569336,39.14925765991211,43.790401458740234,91.75607299804688,50.50667190551758,126.23999786376953,93.15733337402344
2018-02-21,84.16612243652344,40.15193557739258,5.9635820388793945,74.14600372314453,38.828086853027344,43.43928909301758,92.14002990722656,51.54180908203125,125.66000366210938,92.01443481445312
2018-02-22,84.38690185546875,40.487579345703125,5.983100891113281,74.26699829101562,38.70976638793945,43.15645217895508,91.97203826904297,51.73711395263672,126.30000305175781,92.290283203125
2018-02-23,86.5303955078125,41.191707611083984,6.076498031616211,75.0,40.34098815917969,45.38010787963867,93.83578491210938,52.13749694824219,126.13999938964844,93.11000061035156
2018-02-26,87.78150177001953,42.00615310668945,6.092559337615967,76.09750366210938,41.50733947753906,46.79427719116211,95.00363159179688,53.70973205566406,126.44999694824219,93.1415786743164
2018-02-27,86.6591796875,41.87002944946289,6.079710483551025,75.5989990234375,42.183494567871094,47.379451751708984,93.87578582763672,52.98708724975586,125.12999725341797,93.00759887695312
2018-02-28,86.26360321044922,41.806644439697266,5.97939395904541,75.62249755859375,41.65947341918945,47.603759765625,92.38796997070312,52.97731399536133,125.0,93.59871673583984
2018-03-01,85.41722869873047,41.07434844970703,5.737502098083496,74.67250061035156,40.43394470214844,46.44317626953125,90.73218536376953,52.22538757324219,124.72000122070312,94.23765563964844
2018-03-02,85.60124969482422,41.35835647583008,5.84448766708374,75.01249694824219,41.397464752197266,47.89634704589844,90.64422607421875,51.93241500854492,125.38999938964844,93.47152709960938
2018-03-05,86.14400482177734,41.50154113769531,5.822497844696045,76.18049621582031,42.04826354980469,50.74418640136719,92.0360107421875,51.94218826293945,125.18000030517578,93.21883392333984
2018-03-06,85.849609375,41.466331481933594,5.9833478927612305,76.88200378417969,42.859642028808594,52.41193389892578,92.11601257324219,52.31327438354492,126.52999877929688,93.30567169189453
2018-03-07,86.34639739990234,41.08140182495117,5.975442409515381,77.25,43.37520980834961,52.63624572753906,91.77204895019531,52.840606689453125,125.72000122070312,93.2030258178711
2018-03-08,86.87077331542969,41.52969741821289,5.959134101867676,77.59300231933594,42.885009765625,53.8553581237793,91.78006744384766,53.5046501159668,125.41999816894531,93.7401123046875
2018-03-09,88.81182861328125,42.243221282958984,6.061675071716309,78.94450378417969,44.11052703857422,53.24093246459961,94.41970825195312,54.75462341308594,125.54000091552734,93.1240234375
2018-03-12,89.02345275878906,42.651611328125,6.171131134033203,79.91950225830078,43.544246673583984,57.90279006958008,94.11576080322266,55.17454147338867,125.54000091552734,93.6611099243164
2018-03-13,86.85237884521484,42.240875244140625,6.120479106903076,79.40899658203125,43.764007568359375,57.96131896972656,92.98788452148438,54.91087341308594,125.77999877929688,94.13500213623047
2018-03-14,86.33718872070312,41.88175964355469,6.145928382873535,79.55000305175781,43.83162307739258,58.30266189575195,91.94802856445312,53.98316192626953,125.69999694824219,94.9642562866211
2018-03-15,86.64079284667969,41.93104934692383,6.160754203796387,79.11599731445312,43.00333786010742,57.38589859008789,92.18000793457031,53.875736236572266,124.9000015258789,94.9642562866211
2018-03-16,87.02716064453125,41.78317642211914,6.188920497894287,78.58399963378906,43.248443603515625,59.08290100097656,92.33999633789062,54.100341796875,124.5999984741211,94.62464904785156
2018-03-19,85.45402526855469,41.144779205322266,5.954686641693115,77.24649810791016,42.9610710144043,58.65377426147461,91.612060546875,53.33863830566406,124.87000274658203,94.32450866699219
2018-03-20,85.67481231689453,41.13067626953125,6.166683197021484,79.32550048828125,43.56961441040039,59.63880920410156,91.7000503540039,54.022216796875,124.30999755859375,93.94539642333984
2018-03-21,85.07686614990234,40.19888687133789,6.141480445861816,79.09300231933594,43.57805633544922,59.5607795715332,91.78006744384766,52.821075439453125,126.4800033569336,94.04810333251953
2018-03-22,82.6021957397461,39.630889892578125,5.975688457489014,77.24600219726562,42.9610710144043,57.46391296386719,87.94854736328125,51.08283615112305,125.9800033569336,94.98007202148438
2018-03-23,80.20112609863281,38.71317672729492,5.756278991699219,74.77799987792969,41.7186393737793,52.87031936645508,85.59685516357422,49.81332778930664,127.61000061035156,94.90897369384766
2018-03-26,86.2728042602539,40.550960540771484,6.0406718254089355,77.79299926757812,44.35564041137695,54.18695831298828,88.23651885986328,50.64339065551758,128.27999877929688,94.54568481445312
2018-03-27,82.30783081054688,39.51116943359375,5.572204113006592,74.85250091552734,43.26533126831055,51.10505294799805,86.52471160888672,49.705909729003906,127.48999786376953,95.5566177368164
2018-03-28,82.23419952392578,39.074615478515625,5.469169616699219,71.57099914550781,41.92148208618164,50.217533111572266,86.3887710571289,49.65707778930664,125.7300033569336,95.80931854248047
2018-03-29,83.96371459960938,39.3797492980957,5.722181797027588,72.36699676513672,44.01757049560547,50.85147476196289,87.96453857421875,50.74103927612305,125.79000091552734,96.27532196044922
2018-04-02,81.43386840820312,39.12156677246094,5.461756706237793,68.59950256347656,41.34675979614258,48.822872161865234,86.26874542236328,48.6121826171875,127.26000213623047,96.46529388427734
2018-04-03,82.52861022949219,39.52291488647461,5.568002223968506,69.60250091552734,42.04826354980469,50.27604293823242,87.45262145996094,50.26254653930664,126.30000305175781,95.72129821777344
2018-04-04,84.93887329101562,40.278690338134766,5.589993000030518,70.52850341796875,42.25111389160156,52.070579528808594,88.78044128417969,50.81916809082031,126.44999694824219,95.52339935302734
